offering
"Price::$8,500,000,RentableBuildingArea::9,900 SF,SaleType::Investment or Owner User,NoStories::4,SaleConditions::YearBuilt,PropertyType::Office,Tenancy::Single,BuildingClass::C,ZoningDescription::CCB,LotSize::0.06 AC,APNParcelID::0227-013"
"Price::$1,448,000,LotSize::0.04 AC,SaleType::Investment or Owner User,GrossLeasableArea::2,226 SF,CapRate::4.45%,NoStories::2,PropertyType::Retail,YearBuilt::1954,PropertySubtype::ZoningDescription,BuildingClass::C,APNParcelID::2379-001"
"Price::$2,795,000,GrossLeasableArea::2,786 SF,SaleType::Investment or Owner User,NoStories::2,PropertyType::Retail,YearBuilt::1923,PropertySubtype::Storefront Retail/Residential,ZoningDescription::NCD, San Francisco,BuildingClass::C,APNParcelID::3596-101,LotSize::0.05 AC"
"Price::$1,399,000,GrossLeasableArea::3,660 SF,SaleType::Investment,NoStories::3,PropertyType::Retail,YearBuilt::1906,PropertySubtype::ZoningDescription,LotSize::0.03 AC,APNParcelID::0147-026"
"Price::$3,750,000,LotSize::0.06 AC,SaleType::Investment,GrossLeasableArea::5,276 SF,CapRate::3.80%,NoStories::2,PropertyType::Retail,YearBuilt::1900,PropertySubtype::Storefront Retail/Residential,ZoningDescription::RH2,BuildingClass::C,APNParcelID::0605-008"
"Price::$1,990,000,GrossLeasableArea::3,681 SF,SaleType::Investment or Owner User,NoStories::4,PropertyType::Retail,YearBuilt::1907,PropertySubtype::Storefront Retail/Residential,ZoningDescription::CRNC,BuildingClass::C,APNParcelID::0211-006,LotSize::0.03 AC"
"Price::$5,500,000,BuildingClass::B,UnitSize::8,883 SF,Floors::5,NoUnits::1,TypicalFloorSize::1,780 SF,TotalBuildingSize::8,883 SF,YearBuilt::2003,PropertyType::Retail (Condo),LotSize::0.36 AC,PropertySubtype::Storefront Retail/Residential,ParkingRatio::3.93/1,000 SF,SaleType::Investment,::UnitSize,CapRate::4.50%,Price::$5,500,000,NOI::$247,500,PriceSF::$619.16,NoParkingSpaces::11,CondoUse::Retail,SaleConditions::Investment Triple Net,SaleType::Investment"
"Price::$4,650,000,GrossLeasableArea::9,287 SF,SaleType::Investment or Owner User,NoStories::3,PropertyType::Retail,YearBuilt::1926,PropertySubtype::Freestanding,Tenancy::Single,BuildingClass::C,ZoningDescription::WMUO-WSOMA MIX USE OFC,LotSize::0.09 AC,APNParcelID::3521-058"
"Price::$4,480,000,GrossLeasableArea::14,208 SF,SaleType::Investment,NoStories::3,PropertyType::Retail,YearBuilt::1975,PropertySubtype::ParkingRatio,BuildingClass::B,ZoningDescription::NC2,LotSize::0.14 AC,APNParcelID::1577-013F"
"Price::$5,250,000,LotSize::0.06 AC,SaleType::Investment or Owner User,RentableBuildingArea::7,764 SF,CapRate::5.28%,NoStories::4,SaleConditions::High Vacancy Property,YearBuilt::1987,PropertyType::Office,ZoningDescription::C2, San Francisco,BuildingClass::B,APNParcelID::0024-018"
"Price::$1,950,000,GrossLeasableArea::2,425 SF,SaleType::Investment,NoStories::2,PropertyType::Retail,YearBuilt::1906,PropertySubtype::Storefront Retail/Residential,Tenancy::Single,BuildingClass::C,ZoningDescription::NBEACH,LotSize::0.04 AC,APNParcelID::0090-002"
"Price::$6,495,000,LotSize::0.32 AC,SaleType::Investment or Owner User,GrossLeasableArea::15,695 SF,CapRate::4.62%,NoStories::2,PropertyType::Retail,YearBuilt::1910,PropertySubtype::Storefront Retail/Residential,ClearCeilingHeight::13 FT,BuildingClass::B,ZoningDescription::UPMKT"
"Price::$1,295,000,LotSize::0.06 AC,SaleType::Investment,GrossLeasableArea::3,658 SF,CapRate::5.29%,NoStories::2,PropertyType::Retail,YearBuilt::1913,PropertySubtype::ZoningDescription,BuildingClass::C,APNParcelID::6520-038"
"Price::$6,300,000,LotSize::0.10 AC,SaleType::Investment or Owner User,GrossLeasableArea::15,036 SF,CapRate::6.37%,NoStories::3,PropertyType::Retail,YearBuilt::1925,PropertySubtype::Storefront Retail/Office,ZoningDescription::NC3,BuildingClass::C,APNParcelID::3615-079"
"Price::$1,700,000,GrossLeasableArea::2,900 SF,SaleType::Investment,NoStories::2,PropertyType::Retail,YearBuilt::1922,PropertySubtype::Storefront Retail/Residential,ZoningDescription::NC2,BuildingClass::B,APNParcelID::1734-017A,LotSize::0.06 AC"
"Price::$5,250,000,ConstructionStatus::Proposed,SaleType::Investment,RentableBuildingArea::17,000 SF,PropertyType::Office,NoStories::4,PropertySubtype::ZoningDescription,BuildingClass::A,APNParcelID::3528-007,LotSize::0.11 AC"
